pc vector number	1	2	3	4	5	6	7	8	9
f2	-0.336708611792	0.0624196394789	0.185964330034	-0.0216173850228	0.0945491151	0.114716554298	-9.23736276065e-10	-1.58046432697e-09	3.20316028344e-10
f1	-0.386262957035	0.0315624282251	-0.119530926709	0.00283138584757	0.0517239536242	-0.0628141176247	-6.785347426e-09	7.11975455691e-10	6.67105767145e-10
f3	-0.386262957035	0.0315624282251	-0.119530926709	0.00283138584757	0.0517239536242	-0.0628141176247	4.93787487387e-09	-3.87290410963e-09	-2.64737104576e-11
f4	-0.345664566353	0.0398789727224	-0.123741941477	0.0284791306357	-0.174025626678	0.0510937935951	-9.23736276065e-10	-1.58046432697e-09	3.20316028344e-10
p2	0.219677047633	0.159845672965	0.135605617309	-0.321122933223	-0.0369827343798	-0.0314753967713	-9.23736276065e-10	-1.58046432697e-09	3.20316028344e-10
p1	0.125259329166	0.143925063192	0.336015546851	0.206105748963	-0.0391922783569	-0.0545738505644	-9.23736276065e-10	-1.58046432697e-09	3.20316028344e-10
t1	0.465756616183	0.156226285829	-0.159712417048	0.0542793557734	0.0267254954925	0.0231932490613	-4.87067738337e-09	-3.32046889267e-09	-5.32050504755e-10
not16S.1	0.178449483049	-0.781646776465	0.0246431347973	-0.00606604459437	-0.001247373919	-0.000519363430285	-9.23736276065e-10	-1.58046432697e-09	3.20316028344e-10
t2	0.465756616183	0.156226285829	-0.159712417048	0.0542793557734	0.0267254954925	0.0231932490613	3.02320483124e-09	1.59540238734e-10	1.17268256144e-09


eigvals	1.06090539948	0.713528968516	0.261388812588	0.15282321753	0.0489090061492	-0.0287068194295	1.07553257125e-16	-3.9046599491e-17	2.6170048815e-18
% variation explained	46.813002855	31.4848370615	11.5339173841	6.74340400383	2.15813534894	1.26670334657	4.74584344213e-15	1.72295152268e-15	1.15476702305e-16
