CUB009	0.63382	0.001						
NAU129	0.60001	0.001						
CUB019	0.57789	0.001						
NAU110	0.55939	0.001		dist type 	body site	n	#positives 	predicted false positive
NAU132	0.51897	0.001						
NAU139	0.47007	0.002						
CUB053	0.34599	0.013						
NAU106	0.21125	0.152						
CUB015	0.20935	0.06						
CUB050	0.1723	0.163						
NAU114	0.09641	0.513						
NAU155	0.05704	0.58						
NAU107	-0.07106	0.633						
NAU155	-0.14464	0.24						
NAU121	-0.20454	0.16						
NCS253	-0.20959	0.119						
CUB004	-0.23407	0.071						
NAU154	-0.23895	0.078						
NAU106	-0.24631	0.038						
NAU155	-0.24673	0.079						
CUB010	-0.32676	0.048						
NAU106	-0.3853	0.002						
CUB017	-0.40782	0.006						
CUB027	-0.63787	0.001						
NCS255	-0.89092	0.001						
NAU156	-0.95121	0.001						
